name,lat,lon
Opposite GEMPLUS,1.2965236,103.7888879
Opposite Blk 71,1.2966214,103.7875632
Blk 71,1.2967208,103.7874386
Before Blk 104,1.3213766,103.852994
Before Balestier Plaza,1.3260552,103.8490224
Singapore Indian Association,1.3182478,103.8551808
Northlight School,1.3187996,103.8548858
Opposite Shaw Plaza,1.3249529,103.8505509
Opposite Blk 104,1.3210003,103.8528382
Singapore Khalsa Association,1.3171911,103.8568983
Shaw Plaza,1.3248796,103.8509341
Opposite Zhongshan Mall,1.3264514,103.8465082
After Irrawaddy Road,1.3264952,103.8442409
Opposite Public Mansion,1.3260262,103.8484752
Zhongshan Mall,1.3266546,103.846438
Opposite Singapore Khalsa Association,1.3172268,103.8573073
Opposite Balestier Point,1.3230499,103.85256
Before Jalan Dusun,1.326685,103.8436719
After Pegu Road,1.3239056,103.8516134
Opposite Blk 253,1.3792717,103.7741449
Opposite Blk 271,1.3774165,103.7738803
After Upper Paya Lebar Road,1.3416982,103.8817934
Opposite Bartley Christian Church,1.3436771,103.8780296
After Bartley Station Exit B,1.3429641,103.8796854
Before Upper Paya Lebar Road,1.3420402,103.8817079
Before Upper Serangoon Road,1.3432447,103.8730731
Bartley Christian Church,1.3438127,103.8782857
Bartley Station Exit A,1.3425144,103.880078
After Upper Serangoon Road,1.34365,103.8738851
Opposite Plaza Parkroyal,1.3009121,103.8606432
Opposite Saint John Headquarters,1.3021455,103.8628974
Saint John Headquarters,1.3019637,103.8632652
Opposite Shaw Towers,1.2970359,103.8565328
Shaw Towers,1.2970607,103.8568861
Esplanade Station Exit F,1.2942894,103.8550459
Opposite Golden Mile Complex,1.3034,103.864871
Opposite The Gateway,1.2992801,103.8586875
Golden Mile Complex,1.3031768,103.865069
Plaza Parkroyal,1.3004331,103.8604334
After Raffles Hotel,1.2952721,103.8553569
The Gateway,1.2992256,103.8590512
Blk 41,1.3277639,103.9265792
Blk 423,1.3279881,103.9268406
Blk 546,1.3304848,103.9262503
Opposite Blk 546,1.3304093,103.9264321
Opposite Blk 416,1.3290383,103.9309908
Blk 416,1.328662,103.930806
Blk 510,1.3321643,103.9303302
Blk 109,1.3321253,103.9342826
Blk 403,1.3300568,103.9344376
Between Blks 139/140,1.329441,103.934846
Blk 506,1.3323505,103.9339438
Bedok Reservoir Station Exit B,1.3369908,103.9332988
Bedok Reservoir Station Exit A,1.3364514,103.9332096
Blk 95,1.3340363,103.9419183
After Bedok Industrial Park E,1.3365627,103.9439895
Opposite Blk 3014,1.3348553,103.950087
Blk 3014,1.3351379,103.9502073
After Bedok North Street 5,1.3366239,103.9444442
Opposite SBST Bedok North Depot,1.3377244,103.9464143
SBST Bedok North Depot,1.3377848,103.947016
Blk 99,1.333421,103.938851
Blk 88,1.3332734,103.9390594
Bedok North Station Exit A,1.3354718,103.9181452
Between Blks 705/706,1.3364221,103.9182631
Blk 547,1.3293835,103.9245494
Blk 45,1.329152,103.9245344
Opposite Fengshan Primary School,1.3310958,103.9319486
Blk 516,1.3305704,103.9297651
Blk 109,1.3318368,103.9351237
Blk 85,1.331757,103.9385126
Blk 111,1.3315691,103.9352998
Fengshan Primary School,1.3308905,103.9323411
Blk 124,1.329463,103.939611
Blk 521,1.3299467,103.9273086
Blk 428,1.329803,103.927708
Opposite Blk 85,1.3314728,103.9383596
Blk 81,1.3285833,103.9400449
Blk 414,1.3303105,103.9296709
Opposite Bedok Central Post Office,1.3278572,103.933941
Bedok Central Post Office,1.3275902,103.9342577
Blk 544,1.3307808,103.9243464
Blk 526,1.3337489,103.9290305
Opposite Blk 550,1.3331485,103.9269114
Blk 512,1.3336014,103.9289605
Blk 534,1.3327117,103.9243938
Blk 550,1.332958,103.9267554
Blk 509,1.3332964,103.9315727
Opposite Waterfront Isle,1.339215,103.927902
Blk 609,1.3320937,103.9121619
Waterfront Isle,1.3389765,103.927481
Opposite Blk 716,1.3383115,103.924906
Opposite Bedok Industrial Park C,1.338033,103.916191
After Waterfront Waves,1.3385795,103.9293945
Blk 608,1.3320144,103.9133294
Christ Church,1.3331844,103.9159991
Opposite Blk 701,1.3381013,103.9193603
Opposite Waterfront Key,1.338217,103.9311425
Opposite Waterfront Waves,1.3388065,103.9294866
Blk 716,1.3381516,103.9253585
Blk 133,1.3321747,103.9117745
Blk 703,1.3375193,103.9197239
Blk 745,1.3373066,103.9219568
Blk 121,1.3315443,103.9097482
Waterfront Key,1.3378724,103.9313761
Opposite The Clearwater Condominium,1.33829,103.9338291
Blk 970A,1.3417364,103.9373684
Blk 954D,1.3419803,103.9371415
Blk 629,1.3345888,103.9141864
Blk 713,1.3374678,103.9226153
Blk 646,1.3308967,103.9061387
Opposite Blk 646,1.3308752,103.906555
After Bedok Industrial Park C,1.337546,103.9153179
Excelsior Gardens,1.324962,103.9523433
Opposite Bedok Market Place,1.3314612,103.9473551
Man Fatt Lam Temple,1.3264289,103.9512105
Country Park,1.3218681,103.9546757
Bedok Market Place,1.331717,103.94742
After Bedok Methodist Church,1.3226373,103.9542672
Before Jalan Chempaka Kuning,1.3294654,103.949116
Opposite Man Fatt Lam Temple,1.3267169,103.951261
Eastwood Centre,1.321356,103.9553157
Casafina,1.316567,103.9332761
Eastern Lagoon II,1.312814,103.9338925
Opposite Casafina/Temasek Junior College,1.3166098,103.9330905
Opposite Eastern Lagoon II,1.3127934,103.9341616
Blk 50,1.3236812,103.9441826
After Blk 156,1.3176388,103.9450936
Blk 172,1.3200572,103.944366
Lion Home For Elders,1.3205562,103.938363
Panasonic,1.3214433,103.9277803
Blk 163,1.3201639,103.9470529
Blk 171,1.3211355,103.9459646
Opposite Blk 40,1.320514,103.9405
Blk 71,1.3206966,103.9424321
Siglap Community Club/Opposite Blk 71,1.3209341,103.9432592
Opposite Lion Home For Elders,1.3202306,103.9383183
Temasek Junior College,1.3196264,103.9356757
Opposite Temasek Junior College,1.319696,103.9352357
After Bedok South Avenue 1,1.3185418,103.9315176
Fujitec Singapore Limited,1.318711,103.931562
